AID	RESPONDENT IDENTIFIER
H4MA5	How often did a parent or other adult caregiver touch you in a sexual way, force you to touch him or her in a sexual way, or force you to have sexual relations?
H4MA6	How old were you the first time this happened? NOTE: Smallest 5 and largest 5 values are displayed.
H4DA1	In the past seven days, how many hours did you watch television or videos, including VHS, DVDs or music videos?
H4DA2	In the past seven days, how many times did you bicycle, skateboard, dance, hike, hunt, or do yard work?
H4DA3	In the past seven days, how many times did you roller blade, roller skate, downhill ski, snow board, play racquet sports, or do aerobics?
H4DA4	In the past seven days, how many times did you participate in strenuous team sports such as football, soccer, basketball, lacrosse, rugby, field hockey, or ice hockey?
H4DA5	In the past seven days, how many times did you participate in individual sports such as running, wrestling, swimming, cross-country skiing, cycle racing, or martial arts?
H4DA6	In the past seven days, how many times did you participate in gymnastics, weight lifting, or strength training?
H4DA7	In the past seven days, how many times did you play golf, go fishing or bowling, or play softball or baseball?
H4DA8	In the past seven days, how many times did you walk for exercise?
H4DA9	Were the past seven days typical in terms of your physical activity?
H4DA10	Are you generally more active or less active than you were in the past seven days?
H4DA11	In the past 24 hours, have you participated in vigorous physical activity long enough to work up a sweat, get your heart thumping, or get out of breath?
H4DA12H	At what time in the past 24 hours did you last finish participating in vigorous physical activity? [hour]
H4DA12M	At what time in the past 24 hours did you last finish participating in vigorous physical activity? [minute]
H4DA12T	At what time in the past 24 hours did you last finish participating in vigorous physical activity? [am/pm]
H4DA13	On the average, how many times per week do you use a physical fitness or recreation center in your neighborhood?*
H4DA14	How many minutes does it take you to get from your home to your (primary place of work/school)?*
H4DA15A	Car*
H4DA15B	Public transportation (bus, train, subway)*
H4DA15C	Walking*
H4DA15D	Bicycle*
H4DA15E	None of the above*
H4DA16	When you go outside on a sunny day for more than one hour, how likely are you to use sunscreen or sunblock?*
H4DA17	During a typical summer week, how many hours do you spend outdoors in the sun during the day?
H4DA18	How many times in your life have you had a sunburn that blistered?
H4DA19	Do you own a computer?*
H4DA20	Do you have access to a computer, for example at a library, school, or work?*
H4DA21	Do you have an email account?*
H4DA22	In the past seven days, how many hours did you spend using the Internet, for example, accessing your email or using the web? Do not count internet use for work or school.*
H4DA23	In the past seven days, how many hours did you spend playing video or computer games, or using a computer? Do not count internet use for work or school.*
H4DA24	Have you ever bought lottery tickets, played video games or slot machines for money, bet on horses or sporting events, or taken part in any other kinds of gambling for money?
H4DA25	Has your gambling ever caused serious financial problems or problems in your relationships with any of your family members or friends?
H4DA26	In the past 12 months, about how many hours did you spend on volunteer or community service work?*
H4DA27	How often do you usually vote in local or statewide elections?*
H4DA28	In terms of politics, do you consider yourself very conservative, conservative, middle-of-the-road, liberal, or very liberal?
H4PE1	I am the life of the party
H4PE2	I sympathize with others' feelings
H4PE3	I get chores done right away
H4PE4	I have frequent mood swings
H4PE5	I have a vivid imagination
H4PE6	I worry about things
H4PE7	I'm always optimistic about my future
H4PE8	I get angry easily
H4PE9	I don't talk a lot
H4PE10	I am not interested in other people's problems
H4PE11	I often forget to put things back in their proper place
H4PE12	I am relaxed most of the time
H4PE13	I am not interested in abstract ideas
H4PE14	I am not easily bothered by things
H4PE15	I hardly ever expect things to go my way
H4PE16	I rarely get irritated
H4PE17	I talk to a lot of different people at parties
H4PE18	I feel others' emotions
H4PE19	I like order
H4PE20	I get upset easily
H4PE21	I have difficulty understanding abstract ideas
H4PE22	I get stressed out easily
H4PE23	Overall, I expect more good things to happen to me than bad
H4PE24	I lose my temper
H4PE25	I keep in the background
H4PE26	I am not really interested in others
H4PE27	I make a mess of things
H4PE28	I seldom feel blue
H4PE29	I do not have a good imagination
H4PE30	I don't worry about things that have already happened
H4PE31	I rarely count on good things happening to me
H4PE32	I keep my cool
H4PE33	I go out of my way to avoid having to deal with problems in my life
H4PE34	When making a decision, I go with my 'gut feeling' and don't think much about the consequences of each alternative
H4PE35	I like to take risks
H4PE36	I live my life without much thought for the future
H4PE37	There is little I can do to change the important things in my life.
H4PE38	Other people determine most of what I can and cannot do.
H4PE39	There are many things that interfere with what I want to do.
H4PE40	I have little control over the things that happen to me.
H4PE41	There is really no way I can solve the problems I have.
H4CMONTH	Biospecimen collection date- month
H4CDAY	Biospecimen collection date- day
H4CYEAR	Biospecimen collection date- year
H4ARM	Which arm for blood pressure measurement
H4CUFF	Cuff size*
H4CUFFLG	Arm circumference measured 12-12.75 inches in pretest*
H4SBP	Systolic blood pressure*
H4DBP	Diastolic blood pressure*
H4BPCLS	Blood pressure classification
H4BPFLG	Number of blood pressures used to create single variable*
H4PR	Pulse rate*
H4PP	Pulse pressure*
H4MAP	Mean arterial pulse pressure*
H4HGT	Measured height (cm)*
H4WGT	Measured weight (kg)*
H4WTLBS	Flag indicating weight was incorrectly measured in lbs and was converted to kg*
H4BMI	Body mass index
H4BMICLS	Body mass index classification
H4WAIST	Measured waist (cm)*
H4IR1	How physically attractive is the respondent?
H4IR2	How attractive is the respondent's personality?
H4IR3	How well groomed is the respondent?
H4IR4	Indicate the race of the sample member/respondent from your own observation (not from what the respondent said).
H4IR5	Was a third person present during any portion of the interview--not just walking through the area where the interview was being conducted, but listening to or taking part in the interview process?
H4IR6	Who was present?
H4IR7	How many interruptions occurred during the interview?
H4IR8	Where was the biomarker portion of the interview conducted?
H4IR8A	Specify other location.
H4IR9	Where was the questionnaire portion of the interview conducted?
H4IR9A	Specify other location.
H4IR10	Did the respondent appear to be drunk or under the influence of a drug?
H4IR11	Did the respondent ever seem bored or impatient during the interview?
H4IR12	Did the respondent's boredom or impatience negatively affect the quality of the interview?
H4IR13	In your opinion, was the respondent candid in his/her responses?
H4IR14	Did the respondent require your help in completing the self- administered part of the questionnaire?
H4EO1	In order to complete the environmental questions, you must have visited the respondent's home. Have you visited the respondent's home?
H4EO2	Please indicate whether you will enter data from Section D of the CDF for this case or whether you will be completing the neighborhood environment questions from memory.
H4EO3	The building structure or entrance is unsafe, or contains cracks or holes, broken siding or glass, or peeling paint.
H4EO4	The yard is unkempt with overgrown shrubs or grass, or contains clutter, trash or other debris.
H4EO5A	None
H4EO5B	Guard/Door Person at the front door who has to call the unit
H4EO5C	Guard/Door Person at the front door who must give access to building
H4EO5D	Guard/Door Person at gate of community
H4EO5E	On-site/Off-site Staff/Manager who controls access
H4EO5F	Locked main entrance/gate, no intercom/buzzer (locked doors, locked gate, controlled gate, or other locked entry)
H4EO5G	Locked main entrance/gate with intercom/buzzer, no unit address labels (may contain other labels such as names, but does not provide address label)
H4EO5H	Locked main entrance/gate with intercom/buzzer, with unit address labels
H4EO5I	Threatening animal on or near the property
H4EO5J	Threatening sign on or near the property
H4EO6	Which of the following best describes the immediate area or street (one block, both sides) where the sample member/respondent lives?
H4EO7	How safe did you feel when you were in the sample member's/respondent's neighborhood? Did you feel:
